year,sgg_cd,sgg_nm,bjdong_nm,cost,build_year
2024,11380,은평구,신사동,59700,1994
2024,11590,동작구,신대방동,86000,1996
2024,11260,중랑구,면목동,108000,2020
2024,11560,영등포구,당산동2가,38100,1999
2024,11650,서초구,반포동,407000,2018
2024,11470,양천구,목동,35000,2018
2024,11410,서대문구,북아현동,74500,1999
2024,11230,동대문구,답십리동,41000,1992
2024,11740,강동구,천호동,26300,2021
2024,11620,관악구,봉천동,75500,2003
2024,11710,송파구,송파동,51800,2019
2024,11200,성동구,하왕십리동,123500,2017
2024,11680,강남구,역삼동,15000,2012
2024,11440,마포구,망원동,25950,2008
2024,11740,강동구,천호동,135000,2017
2024,11500,강서구,방화동,21300,2001
2024,11530,구로구,구로동,59800,1989
2024,11350,노원구,월계동,28500,1992
2024,11380,은평구,진관동,104000,2019
2024,11500,강서구,마곡동,12500,2015
2024,11440,마포구,염리동,35000,2021
2024,11545,금천구,독산동,18300,2019
2024,11200,성동구,성수동2가,23000,2012
2024,11380,은평구,진관동,84000,2010
2024,11530,구로구,개봉동,7500,2012
2024,11260,중랑구,묵동,30500,2002
2024,11380,은평구,응암동,24300,2011
2024,11350,노원구,중계동,26900,2016
2024,11620,관악구,남현동,28000,2016
2024,11215,광진구,군자동,28000,1997
2024,11305,강북구,우이동,10750,1991
2024,11500,강서구,방화동,43000,1996
2024,11620,관악구,봉천동,23800,1966
2024,11560,영등포구,양평동4가,26500,2017
2024,11500,강서구,방화동,8100,1999
2024,11350,노원구,상계동,14500,1990
2024,11215,광진구,구의동,36500,2004
2024,11305,강북구,미아동,62800,2004
2024,11320,도봉구,도봉동,14500,1988
2024,11560,영등포구,영등포동4가,23000,2013
2024,11620,관악구,봉천동,25500,2003
2024,11380,은평구,구산동,8000,1994
2024,11305,강북구,수유동,46000,1992
2024,11290,성북구,길음동,93500,2005
2024,11290,성북구,석관동,35000,1994
2024,11590,동작구,신대방동,40500,2002
2024,11350,노원구,중계동,39500,1990
2024,11590,동작구,상도동,114500,2012
2024,11140,중구,중림동,27500,2006
2024,11200,성동구,행당동,22000,2006
2024,11200,성동구,하왕십리동,129000,2004
2024,11500,강서구,마곡동,29000,2016
