sgg_nm,cnt,avg_cost
강남구,77771,112808.0589
강동구,76033,53227.2020
강북구,52312,31440.8208
강서구,111724,36047.2249
관악구,62551,40551.9954
광진구,46441,56150.0395
구로구,77344,35415.0474
금천구,37909,33453.2107
노원구,97517,36077.7838
도봉구,62470,30392.9419
동대문구,56192,44520.5510
동작구,60892,57209.2879
마포구,68889,57865.9797
서대문구,52474,45718.6027
서초구,63935,104018.6940
성동구,45892,73791.2046
성북구,75938,45312.3503
송파구,96427,71082.3293
양천구,74571,48201.2008
영등포구,64364,52731.2232
용산구,39214,93568.0822
은평구,95267,33963.5907
종로구,23599,54745.9121
중구,19624,59559.1347
중랑구,56963,37948.9611
