"sgng_cd","lgdng_cd","hscmp_cd","hscmp_nm","nmhsh","lgdng_addr","cours_cnt","cours_tot_lngth","lilhd_ndx","lilhd_ndx_nm","evscr"
"11110","1111011500","A11005401","광화문풍림스페이스본 아파트",744,"서울특별시 종로구 사직동 9 광화문풍림스페이스본 아파트",0,0,5,"하위권",0
"11110","1111011800","A11007001","경희궁의아침3단지",150,"서울특별시 종로구 내수동 72 경희궁의아침3단지",1,8179.5,4,"중하위권",84
"11110","1111011800","A11087101","경희궁의아침2단지",90,"서울특별시 종로구 내수동 71 경희궁의아침2단지",1,8179.5,4,"중하위권",84
"11110","1111012400","A11014001","로얄팰리스스위트",23,"서울특별시 종로구 수송동 85 로얄팰리스스위트",1,8179.5,4,"중하위권",84
"11110","1111013300","A11034001","현대뜨레비앙",291,"서울특별시 종로구 익선동 55 현대뜨레비앙",1,8179.5,4,"중하위권",84
"11110","1111015700","A11041001","효성주얼리시티아파트",298,"서울특별시 종로구 인의동 48-2 효성주얼리시티아파트",1,8179.5,4,"중하위권",84
"11110","1111016200","A10027162","포레스트힐시티",152,"서울특별시 종로구 효제동 65-2 포레스트힐시티",1,8179.5,4,"중하위권",84
"11110","1111017100","A11052201","명륜아남1차",436,"서울특별시 종로구 명륜2가 4 명륜아남1차",1,3663.22,4,"중하위권",76
"11110","1111017400","A11054301","창신쌍용1단지",585,"서울특별시 종로구 창신동 702 창신쌍용1단지",1,3663.22,4,"중하위권",76
"11110","1111017400","A11054101","창신두산",529,"서울특별시 종로구 창신동 232 창신두산",2,11842.72,3,"중위권",87
"11110","1111017400","A11077101","창신쌍용아파트 2단지",919,"서울특별시 종로구 창신동 703 창신쌍용아파트 2단지",1,3663.22,4,"중하위권",76
"11110","1111017500","A11055002","종로청계힐스테이트",288,"서울특별시 종로구 숭인동 766 종로청계힐스테이트",2,11842.72,3,"중위권",87
"11110","1111017500","A11087601","롯데캐슬천지인",220,"서울특별시 종로구 숭인동 76 롯데캐슬천지인",2,11842.72,3,"중위권",87
"11110","1111017500","A11087602","종로센트레빌",416,"서울특별시 종로구 숭인동 2-1 종로센트레빌",2,11842.72,3,"중위권",87
"11110","1111017500","A10024713","숭인상가아파트",109,"서울특별시 종로구 숭인동 204-11 숭인상가아파트",2,11842.72,3,"중위권",87
"11110","1111017600","A10026940","경희궁자이4단지주상복합",182,"서울특별시 종로구 교남동 62-1 경희궁자이4단지주상복합",0,0,5,"하위권",0
"11110","1111017700","A10027105","경희궁자이3단지",589,"서울특별시 종로구 평동 233 경희궁자이3단지",0,0,5,"하위권",0
"11110","1111017900","A10027118","경희궁자이2단지 아파트",1148,"서울특별시 종로구 홍파동 199 경희궁자이2단지 아파트",0,0,5,"하위권",0
"11110","1111018100","A10026946","경희궁자이1단지(임대아파트)",496,"서울특별시 종로구 행촌동 211 경희궁자이1단지(임대아파트)",0,0,5,"하위권",0
"11110","1111018200","A10024669","동익빌라",123,"서울특별시 종로구 구기동 40 동익빌라",1,2097.85,4,"중하위권",71
"11110","1111018300","A11001203","평창삼성",176,"서울특별시 종로구 평창동 596 평창삼성",0,0,5,"하위권",0
"11110","1111018300","A11084601","평창롯데",156,"서울특별시 종로구 평창동 72 평창롯데",0,0,5,"하위권",0
"11110","1111018300","A10024780","금강주택",168,"서울특별시 종로구 평창동 170 금강주택",0,0,5,"하위권",0
"11110","1111018700","A11081503","무악현대",964,"서울특별시 종로구 무악동 82 무악현대",0,0,5,"하위권",0
"11110","1111018700","A11008001","무악현대임대",550,"서울특별시 종로구 무악동 83 무악현대임대",0,0,5,"하위권",0
"11110","1111018700","A11081302","인왕산아이파크",810,"서울특별시 종로구 무악동 60 인왕산아이파크",0,0,5,"하위권",0
"11110","1111018700","A10027708","인왕산2차아이파크아파트",167,"서울특별시 종로구 무악동 71-1 인왕산2차아이파크아파트",0,0,5,"하위권",0
"11110","1111018700","A10025710","경희궁 롯데캐슬아파트",195,"서울특별시 종로구 무악동 46 경희궁 롯데캐슬아파트",0,0,5,"하위권",0
"11140","1114012100","A10088101","남산SK리더스뷰",233,"서울특별시 중구 회현동1가 206 남산SK리더스뷰",0,0,5,"하위권",0
"11140","1114012100","A10088102","남산롯데캐슬아이리스",386,"서울특별시 중구 회현동1가 208 남산롯데캐슬아이리스",0,0,5,"하위권",0
"11140","1114012200","A10072501","쌍용남산플래티넘",236,"서울특별시 중구 회현동2가 87 쌍용남산플래티넘",0,0,5,"하위권",0
"11140","1114013200","A10086301","충무로진양",286,"서울특별시 중구 충무로4가 120-3 충무로진양",1,8179.5,4,"중하위권",84
"11140","1114013200","A10071301","남산센트럴자이",273,"서울특별시 중구 충무로4가 306 남산센트럴자이",1,8179.5,4,"중하위권",84
"11140","1114013300","A10025223","충무로엘크루메트로시티2",171,"서울특별시 중구 충무로5가 36-2 충무로엘크루메트로시티2",1,8179.5,4,"중하위권",84
"11140","1114013400","A10028201","인현신성",180,"서울특별시 중구 인현동2가 192-30 인현신성",1,8179.5,4,"중하위권",84
"11140","1114013600","A10026849","묵정아파트",122,"서울특별시 중구 묵정동 11-67 묵정아파트",1,8179.5,4,"중하위권",84
"11140","1114016200","A10045403","신당삼성(분양)",994,"서울특별시 중구 신당동 843 신당삼성(분양)",0,0,5,"하위권",0
"11140","1114016200","A10045401","신당삼성임대",440,"서울특별시 중구 신당동 843 신당삼성임대",0,0,5,"하위권",0
"11140","1114016200","A10045601","신당현대",942,"서울특별시 중구 신당동 840 신당현대",0,0,5,"하위권",0
"11140","1114016200","A10045302","신당남산타운(분양)",3116,"서울특별시 중구 신당동 844 신당남산타운(분양)",0,0,5,"하위권",0
"11140","1114016200","A10045404","신당약수하이츠",1598,"서울특별시 중구 신당동 842 신당약수하이츠",0,0,5,"하위권",0
"11140","1114016200","A10045001","신당푸르지오",461,"서울특별시 중구 신당동 850 신당푸르지오",0,0,5,"하위권",0
"11140","1114016200","A10045402","약수하이츠아파트(임대)",684,"서울특별시 중구 신당동 842 약수하이츠아파트(임대)",0,0,5,"하위권",0
"11140","1114016200","A10078901","래미안신당하이베르",784,"서울특별시 중구 신당동 851 래미안신당하이베르",0,0,5,"하위권",0
"11140","1114016200","A10078902","래미안신당하이베르임대",161,"서울특별시 중구 신당동 851-1 래미안신당하이베르임대",0,0,5,"하위권",0
"11140","1114016200","A10045301","신당남산타운임대",2034,"서울특별시 중구 신당동 844 신당남산타운임대",0,0,5,"하위권",0
"11140","1114016200","A10078103","청구e편한세상임대",158,"서울특별시 중구 신당동 852-1 청구e편한세상임대",0,0,5,"하위권",0
"11140","1114016200","A10078102","파라다이스",132,"서울특별시 중구 신당동 846 파라다이스",1,8179.5,4,"중하위권",84
"11140","1114016200","A10045002","청구e편한세상(분양)",737,"서울특별시 중구 신당동 852 청구e편한세상(분양)",0,0,5,"하위권",0
