년도,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
2013,75883.40119,37926.20387,23610.9012,26390.05323,28749.26731,41171.88166,26881.16621,24852.56112,24946.07845,23487.99871,30807.38334,42130.85572,43224.76446,28863.31396,72080.85965,42589.56715,31665.23799,53331.76016,35624.46998,35580.82412,59726.75226,25116.77376,40963.69771,43773.97915,26507.69741
2014,79773.51225,39492.46079,25563.35818,28083.69741,31348.10275,45086.87913,27980.74172,25726.42234,25939.3046,24139.235,31991.92281,41350.6803,41206.58348,30795.43316,75996.88319,45960.83631,33441.08075,53955.10837,37776.17031,37181.33816,65140.59203,25642.39423,42820.36227,46579.49805,29732.05797
2015,82234.3816,42034.80998,27117.45048,29890.76984,33587.88546,47309.80902,29406.06796,27428.07155,27780.25685,25278.27094,34154.5518,42290.04174,44525.15734,33653.64279,80136.15045,49033.84673,36539.04068,54645.08065,38710.34382,39136.7747,66296.56105,26438.75338,43349.52034,50501.83978,31228.18839
2016,91802.15168,44471.14683,28631.40148,33230.63456,35874.87484,48952.00988,31507.10879,31370.82859,30206.29427,27261.65432,37240.39915,49387.0723,47823.59407,37464.14225,87144.17443,53970.75424,38915.39083,59234.20169,41649.47733,43407.47419,78164.56397,29300.1917,47229.86522,52791.39328,34080.24173
2017,108019.9542,52557.31593,30845.88866,35487.06084,39558.20395,52156.52861,33450.11739,32847.18982,32740.592,29079.37139,40336.53908,53773.97811,55003.95879,43005.86085,98986.17989,64413.89589,42317.79803,67534.00058,46397.69603,49820.44461,86212.56029,31803.33811,49664.52835,56028.27477,35605.32943
2018,123244.2599,55629.65785,33325.75067,39375.14227,44774.86885,60776.22291,37148.28854,35527.74654,36989.51572,32104.1509,45033.81786,59362.05764,61349.70133,49083.91098,111896.6055,76557.21166,44789.34211,73635.95784,50621.77965,56321.95626,92580.14643,36218.72349,57640.19545,61011.05947,40413.39587
2019,144765.8686,63303.40152,33178.65819,38910.92223,44858.90889,63204.09556,40157.11981,35109.10785,40944.10182,32852.29638,49966.82992,69949.02384,66909.75027,54843.13726,127234.4107,90179.5834,49404.42118,90869.48484,59607.86248,63663.15512,103433.8674,36948.95047,60250.56417,70182.7134,41120.39163
2020,142644.4687,63655.31992,36409.70611,45771.50374,49292.89282,65522.59945,42944.0047,37387.57339,47695.37746,38069.81224,59435.71121,75634.28185,73316.89291,59379.45867,128100.5404,102575.3025,55779.33798,84850.89479,53863.47969,67619.10858,108880.6129,40736.8388,63066.92096,74051.97924,45081.14355
2021,139199.343,62701.44374,35956.45927,40469.01794,48485.11194,66358.46541,43233.69342,39620.08171,57180.98725,34459.20342,60413.27049,75081.79054,74480.43306,62148.96416,127647.1953,112642.6321,64330.23006,75648.13951,54442.48149,65454.29776,111394.7372,40190.5132,71403.2646,71717.85834,49346.51671
2022,127655.7854,51452.59992,33098.26026,31939.62345,45581.56487,65169.57529,34218.98163,34338.08867,50395.70738,32281.58009,51059.89185,62449.17221,61053.20132,52129.14269,113583.5955,119486.4292,58295.16298,64862.85452,44250.31235,51660.99855,163048.6193,38042.44701,63057.02343,51614.67854,44056.38975
2023,182667.8361,76202.40031,36995.86416,43444.67961,49211.3083,71285.19962,45236.77378,37891.3515,54832.13602,38385.31294,62443.3994,74637.72,80710.44033,65604.17391,163030.5673,111415.2727,63623.6599,113391.1567,79182.57597,79427.7742,153867.6947,49688.52949,77341.00853,75665.29395,44705.04965
2024,186472.5369,80141.03345,37105.31974,44765.58917,47033.71116,71386.4409,48693.07023,43276.94071,54070.94711,38504.54535,59048.97159,81905.2847,81882.01719,65713.47445,151228.5242,122773.6667,65709.78136,115995.2096,76053.81766,81173.00347,157293.5367,47330.98747,72275.97765,78794.39554,45353.2472
