year,SGG_NM,cost,status
2013,강남구,75883.40119184929,운영
2014,강남구,79773.51225114854,운영
2015,강남구,82234.38159751623,운영
2016,강남구,91802.15168201842,운영
2017,강남구,108019.9541838687,운영
2018,강남구,123244.259888661,운영
2019,강남구,144765.86861543296,운영
2020,강남구,142644.4686731298,운영
2021,강남구,139199.3430192572,운영
2022,강남구,127655.78537170264,운영
2023,강남구,182667.83611035236,운영
2024,강남구,186472.53694968554,운영
2013,강동구,37926.20387068397,운영
2014,강동구,39492.46079412746,운영
2015,강동구,42034.8099755202,운영
2016,강동구,44471.14683301344,운영
2017,강동구,52557.315930255594,운영
2018,강동구,55629.657854880905,운영
2019,강동구,63303.40151632369,운영
2020,강동구,63655.31991720331,운영
2021,강동구,62701.44374468085,운영
2022,강동구,51452.59992486852,운영
2023,강동구,76202.40031152648,운영
2024,강동구,80141.0334519573,운영
2013,강북구,23610.90119840213,운영
2014,강북구,25563.35818316465,운영
2015,강북구,27117.45047819744,운영
2016,강북구,28631.401476141436,운영
2017,강북구,30845.888656261897,운영
2018,강북구,33325.75066819397,운영
2019,강북구,33178.65819287096,운영
2020,강북구,36409.706109410356,운영
2021,강북구,35956.45926716471,운영
2022,강북구,33098.260255844725,운영
2023,강북구,36995.86416443253,운영
2024,강북구,37105.3197368421,운영
2013,강서구,26390.05322556047,운영
2014,강서구,28083.69740704501,운영
2015,강서구,29890.769844517185,운영
2016,강서구,33230.6345580211,운영
2017,강서구,35487.06083890797,운영
2018,강서구,39375.14226671565,운영
2019,강서구,38910.922234392114,운영
2020,강서구,45771.503743477275,운영
2021,강서구,40469.017940313955,운영
2022,강서구,31939.623454095738,운영
2023,강서구,43444.679611650485,운영
2024,강서구,44765.58917197452,운영
2013,관악구,28749.26730959446,운영
2014,관악구,31348.102754444226,운영
2015,관악구,33587.88546038015,운영
2016,관악구,35874.87483953787,운영
2017,관악구,39558.20395013307,운영
2018,관악구,44774.86885485047,운영
2019,관악구,44858.90889022677,운영
2020,관악구,49292.89281902729,운영
2021,관악구,48485.11194439363,운영
2022,관악구,45581.56486676017,운영
2023,관악구,49211.30830489192,운영
2024,관악구,47033.711155378485,운영
2013,광진구,41171.88165892027,운영
2014,광진구,45086.87913486005,운영
2015,광진구,47309.80901582932,운영
2016,광진구,48952.00988177166,운영
2017,광진구,52156.528606528605,운영
2018,광진구,60776.222910878394,운영
2019,광진구,63204.09555888223,운영
2020,광진구,65522.59945159249,운영
2021,광진구,66358.46540567446,운영
2022,광진구,65169.57528764382,운영
2023,광진구,71285.19962246342,운영
2024,광진구,71386.44090441932,운영
2013,구로구,26881.166210402815,운영
2014,구로구,27980.741722824496,운영
2015,구로구,29406.06796116505,운영
2016,구로구,31507.108788395904,운영
2017,구로구,33450.11739492797,운영
2018,구로구,37148.28853606701,운영
2019,구로구,40157.11981246744,운영
2020,구로구,42944.004698266865,운영
2021,구로구,43233.69342301943,운영
2022,구로구,34218.98162873595,운영
2023,구로구,45236.7737815126,운영
2024,구로구,48693.070234113715,운영
2013,금천구,24852.561118064248,운영
2014,금천구,25726.422337278105,운영
2015,금천구,27428.071553228623,운영
2016,금천구,31370.828593790764,운영
2017,금천구,32847.18982494529,운영
2018,금천구,35527.746542478126,운영
2019,금천구,35109.1078539823,운영
2020,금천구,37387.5733903647,운영
2021,금천구,39620.08171112713,운영
2022,금천구,34338.08866642832,운영
2023,금천구,37891.35149572649,운영
2024,금천구,43276.94070695553,운영
2013,노원구,24946.07845464135,운영
2014,노원구,25939.30460242449,운영
2015,노원구,27780.25684981685,운영
2016,노원구,30206.294267417637,운영
2017,노원구,32740.5920006837,운영
2018,노원구,36989.515719063544,운영
2019,노원구,40944.10181910056,운영
2020,노원구,47695.37746358183,운영
2021,노원구,57180.98724706683,운영
2022,노원구,50395.70737913486,운영
2023,노원구,54832.136017755234,운영
2024,노원구,54070.94711147274,운영
2013,도봉구,23487.99871078642,운영
2014,도봉구,24139.235,운영
2015,도봉구,25278.270944741533,운영
2016,도봉구,27261.654317732366,운영
2017,도봉구,29079.371392918423,운영
2018,도봉구,32104.15089978537,운영
2019,도봉구,32852.29637809187,운영
2020,도봉구,38069.81224437628,운영
2021,도봉구,34459.203419298756,운영
2022,도봉구,32281.580090497737,운영
2023,도봉구,38385.3129378795,운영
2024,도봉구,38504.5453539823,운영
2013,동대문구,30807.383343730504,운영
2014,동대문구,31991.922811556706,운영
2015,동대문구,34154.55180024831,운영
2016,동대문구,37240.39914856136,운영
2017,동대문구,40336.53908318239,운영
2018,동대문구,45033.81786339755,운영
2019,동대문구,49966.829920241435,운영
2020,동대문구,59435.711210465306,운영
2021,동대문구,60413.270491803276,운영
2022,동대문구,51059.891850333166,운영
2023,동대문구,62443.39940052454,운영
2024,동대문구,59048.97159090909,운영
2013,동작구,42130.85572399373,운영
2014,동작구,41350.68030244281,운영
2015,동작구,42290.041738530526,운영
2016,동작구,49387.072296784,운영
