자치구,법정동,사업구분,진행단계,상태
중랑구,면목동,가로주택정비,조합설립인가,운영
은평구,갈현동,가로주택정비,조합설립인가,운영
강북구,미아동,재개발(주택정비형),정비계획 수립,운영
성북구,장위동,가로주택정비,조합설립인가,운영
도봉구,쌍문동,지역주택,조합설립인가,운영
관악구,신림동,지역주택,조합설립인가,운영
송파구,거여동,지역주택,조합설립인가,운영
송파구,거여동,지역주택,조합설립인가,운영
송파구,거여동,지역주택,조합설립인가,운영
송파구,가락동,지역주택,조합설립인가,운영
송파구,가락동,지역주택,조합설립인가,운영
성북구,종암동,가로주택정비,조합설립인가,운영
서대문구,홍은동,재개발(도시정비형),정비구역지정,운영
서대문구,북가좌동,재개발(주택정비형),조합설립인가,운영
구로구,고척동,재개발(주택정비형),조합설립추진위원회승인,운영
동작구,상도동,소규모재건축,관리처분인가,운영
영등포구,양평동,가로주택정비,조합설립인가,운영
영등포구,신길동,재개발(도시정비형),정비계획 수립,운영
영등포구,신길동,재개발(도시정비형),정비계획 수립,운영
영등포구,대림동,재개발(도시정비형),정비계획 수립,운영
동대문구,전농동,재개발(주택정비형),조합설립인가,운영
강북구,미아동,재개발(도시정비형),조합설립인가,운영
강서구,마곡동,재건축,사업시행인가,운영
서대문구,홍은동,가로주택정비,조합설립인가,운영
영등포구,문래동,재건축,조합설립추진위원회승인,운영
서대문구,북아현동,재개발(주택정비형),사업시행인가,운영
서초구,방배동,재건축,철거신고,운영
영등포구,신길동,재개발(도시정비형),정비구역지정,운영
영등포구,신길동,재개발(도시정비형),정비계획 수립,운영
영등포구,여의도동,재건축,조합설립인가,운영
양천구,신정동,재개발(주택정비형),정비구역지정,운영
구로구,가리봉동,재개발(주택정비형),정비계획 수립,운영
중랑구,면목동,재개발(주택정비형),정비계획 수립,운영
성북구,석관동,가로주택정비,조합설립인가,운영
마포구,공덕동,재개발(주택정비형),정비계획 수립,운영
강서구,화곡동,소규모재건축,조합설립인가,운영
구로구,고척동,재건축,조합설립인가,운영
영등포구,당산동,재건축,안전진단,운영
영등포구,신길동,재건축,안전진단,운영
중랑구,상봉동,재개발(도시정비형),조합설립추진위원회승인,운영
중랑구,망우동,재개발(주택정비형),정비계획 수립,운영
강동구,천호동,재개발(주택정비형),조합설립추진위원회승인,운영
영등포구,신길동,지역주택,조합설립인가,운영
강서구,등촌동,지역주택,조합설립인가,운영
강서구,화곡동,지역주택,조합설립인가,운영
강서구,화곡동,지역주택,조합설립인가,운영
중랑구,면목동,지역주택,조합설립인가,운영
영등포구,당산동,재개발(주택정비형),정비계획 수립,운영
중랑구,면목동,가로주택정비,조합설립인가,운영
강남구,대치동,재건축,사업시행인가,운영
서초구,서초동,지역주택,조합설립인가,운영
노원구,상계동,가로주택정비,조합설립인가,운영
용산구,갈월동,재개발(도시정비형),조합설립인가,운영
성북구,길음동,재개발(주택정비형),조합해산,운영
도봉구,창동,소규모재건축,조합설립인가,운영
도봉구,창동,가로주택정비,조합설립인가,운영
도봉구,방학동,가로주택정비,조합설립인가,운영
도봉구,도봉동,가로주택정비,조합설립인가,운영
용산구,보광동,재개발(주택정비형),조합설립인가,운영
마포구,현석동,재개발(도시정비형),정비계획 수립,운영
은평구,신사동,재개발(주택정비형),정비계획 수립,운영
구로구,고척동,가로주택정비,조합설립인가,운영
종로구,창신동,재개발(주택정비형),조합설립추진위원회승인,운영
영등포구,영등포동,가로주택정비,조합설립추진위원회승인,운영
영등포구,영등포동,가로주택정비,조합설립추진위원회승인,운영
영등포구,영등포동,가로주택정비,일반분양승인,운영
강서구,방화동,가로주택정비,조합설립인가,운영
금천구,시흥동,가로주택정비,조합설립인가,운영
영등포구,문래동,재건축,안전진단,운영
영등포구,신길동,재건축,안전진단,운영
영등포구,여의도동,재건축,안전진단,운영
서초구,잠원동,재건축,착공신고,운영
종로구,숭인동,가로주택정비,조합설립인가,운영
종로구,창신동,재개발(도시정비형),조합설립인가,운영
서대문구,남가좌동,재개발(주택정비형),조합해산,운영
송파구,오금동,가로주택정비,조합설립인가,운영
금천구,가산동,재개발(주택정비형),착공신고,운영
송파구,마천동,재개발(주택정비형),정비계획 수립,운영
성북구,정릉동,소규모재건축,조합설립인가,운영
서대문구,홍은동,가로주택정비,사업시행인가,운영
중랑구,신내동,재건축,관리처분인가,운영
강북구,미아동,가로주택정비,조합설립인가,운영
동대문구,청량리동,재건축,정비구역지정,운영
용산구,한강로2가,재개발(도시정비형),관리처분인가,운영
용산구,한남동,가로주택정비,조합설립인가,운영
서대문구,홍은동,가로주택정비,조합설립인가,운영
은평구,불광동,재개발(주택정비형),정비계획 수립,운영
강남구,개포동,재건축,이전고시,운영
강동구,천호동,재개발(도시정비형),조합설립인가,운영
송파구,거여동,재개발(주택정비형),조합설립인가,운영
중랑구,면목동,가로주택정비,조합설립인가,운영
관악구,신림동,재개발(주택정비형),정비계획 수립,운영
금천구,시흥동,재개발(주택정비형),조합설립추진위원회승인,운영
서초구,잠원동,재건축,준공인가,운영
성동구,행당동,재개발(도시정비형),조합설립추진위원회승인,운영
성북구,석관동,가로주택정비,조합설립인가,운영
양천구,신정동,재개발(주택정비형),정비계획 수립,운영
성북구,종암동,가로주택정비,조합설립인가,운영
중랑구,중화동,가로주택정비,조합설립인가,운영
동작구,상도동,지역주택,조합설립인가,운영
강서구,방화동,재건축,조합설립인가,운영
동작구,흑석동,재개발(도시정비형),조합설립인가,운영
영등포구,영등포동,재개발(도시정비형),조합설립인가,운영
중랑구,상봉동,가로주택정비,조합설립인가,운영
동작구,사당동,가로주택정비,조합설립인가,운영
용산구,보광동,재개발(주택정비형),사업시행인가,운영
동대문구,제기동,재개발(주택정비형),관리처분인가,운영
금천구,시흥동,가로주택정비,조합설립인가,운영
강동구,천호동,재개발(주택정비형),정비구역지정,운영
동작구,상도동,지역주택,조합설립인가,운영
동작구,사당동,지역주택,조합설립인가,운영
동작구,사당동,지역주택,조합설립인가,운영
중랑구,면목동,가로주택정비,조합설립인가,운영
중랑구,중화동,가로주택정비,조합설립인가,운영
성북구,석관동,재개발(주택정비형),정비계획 수립,운영
영등포구,여의도동,재건축,조합설립인가,운영
송파구,오금동,가로주택정비,조합설립인가,운영
성북구,장위동,재개발(주택정비형),착공신고,운영
광진구,자양동,가로주택정비,조합설립인가,운영
강북구,번동,가로주택정비,조합설립인가,운영
송파구,문정동,재건축,조합설립인가,운영
마포구,구수동,재개발(도시정비형),정비계획 수립,운영
금천구,시흥동,재건축,사업시행인가,운영
송파구,마천동,재개발(주택정비형),정비계획 수립,운영
관악구,봉천동,가로주택정비,조합설립인가,운영
영등포구,양평동,재개발(도시정비형),관리처분인가,운영
노원구,상계동,재개발(주택정비형),정비구역지정,운영
강남구,삼성동,가로주택정비,사업시행인가,운영
서초구,잠원동,리모델링,조합설립인가,운영
송파구,석촌동,지역주택,조합설립인가,운영
송파구,오금동,지역주택,조합설립인가,운영
송파구,송파동,지역주택,조합설립인가,운영
서대문구,홍제동,재건축,준공인가,운영
동작구,흑석동,재개발(주택정비형),조합설립인가,운영
서대문구,남가좌동,재개발(도시정비형),정비계획 수립,운영
강서구,마곡동,재건축,정비구역지정,운영
영등포구,영등포동,재개발(도시정비형),정비계획 수립,운영
영등포구,신길동,재개발(도시정비형),정비계획 수립,운영
영등포구,신길동,재개발(도시정비형),정비계획 수립,운영
영등포구,신길동,가로주택정비,조합설립인가,운영
송파구,방이동,재건축,조합설립인가,운영
관악구,신림동,가로주택정비,조합설립인가,운영
동작구,대방동,지역주택,조합설립인가,운영
마포구,신공덕동,지역주택,조합설립인가,운영
성북구,장위동,가로주택정비,조합설립인가,운영
중구,황학동,지역주택,조합설립인가,운영
중구,황학동,지역주택,조합설립인가,운영
중구,황학동,지역주택,조합설립인가,운영
관악구,봉천동,지역주택,조합설립인가,운영
구로구,구로동,재개발(도시정비형),정비구역지정,운영
중랑구,중화동,재개발(주택정비형),조합설립인가,운영
동대문구,휘경동,재개발(주택정비형),조합설립추진위원회승인,운영
관악구,신림동,재건축,사업시행인가,운영
광진구,자양동,재개발(주택정비형),정비계획 수립,운영
강서구,방화동,가로주택정비,조합설립인가,운영
광진구,광장동,소규모재건축,조합설립인가,운영
송파구,가락동,리모델링,조합설립인가,운영
강남구,개포동,재건축,사업시행인가,운영
중랑구,면목동,가로주택정비,조합설립인가,운영
강북구,번동,가로주택정비,조합설립인가,운영
광진구,화양동,가로주택정비,조합설립인가,운영
동작구,대방동,지역주택,조합설립인가,운영
강서구,염창동,리모델링,조합설립인가,운영
강북구,미아동,재개발(도시정비형),조합설립인가,운영
강북구,수유동,재개발(주택정비형),정비계획 수립,운영
영등포구,여의도동,재건축,조합설립인가,운영
영등포구,여의도동,재건축,조합설립추진위원회승인,운영
동대문구,전농동,지역주택,조합설립인가,운영
성동구,마장동,재건축,조합설립인가,운영
서대문구,홍제동,재개발(도시정비형),정비계획 수립,운영
영등포구,도림동,재개발(도시정비형),정비계획 수립,운영
강서구,염창동,가로주택정비,조합설립인가,운영
서초구,방배동,가로주택정비,조합설립인가,운영
영등포구,양평동,재건축,안전진단,운영
영등포구,대림동,재건축,안전진단,운영
영등포구,당산동,재건축,안전진단,운영
영등포구,신길동,재건축,안전진단,운영
영등포구,여의도동,재건축,안전진단,운영
영등포구,여의도동,재건축,안전진단,운영
영등포구,여의도동,재건축,안전진단,운영
영등포구,여의도동,재건축,안전진단,운영
영등포구,도림동,재개발(주택정비형),정비계획 수립,운영
영등포구,대림동,재개발(주택정비형),정비계획 수립,운영
성북구,돈암동,지역주택,조합설립인가,운영
성북구,정릉동,지역주택,조합설립인가,운영
송파구,송파동,재건축,조합설립인가,운영
강북구,번동,가로주택정비,조합설립인가,운영
금천구,시흥동,재개발(주택정비형),조합설립추진위원회승인,운영
